,text,class
2945,"* refactored implementation and design of Sets and Relations. A RelationType is now a subclass of SetType and IRelation is an extended ISet. This makes it possible to factor out common code, and to make the client of the API oblivious to whether something is a relation. Also, I could now implement (type-safely) an implicit normalization of all sets of tuples to relations. This means that at run-time the implementation guarantees there are no sets of tuples, only relations. All and all another it also results in a reduction of code.",3
37,Support some missing JAPIC features,4
2934,#143 Package Structure Refactoring,3
2938,#3 Improved structure of tests,3
2932,#101403760 Make experiment page use React anatomogram - Refactor `Anatomogram` to its own React component ; refactor `internal-atlas-index.js` to mirror the structure of `index.js` ; simplify the logic to build the heatmap,3
2941,"#98 added accepting infrastructure for ZIP jobs, including validation of ZIP structure and extraction of properties",3
2940,"#935 - Refactor cache settings for structured content.   StructuredContent items should be cached in a DTO structure and not utilize standard hibernate query cache.   This is because the BLOB fields that are sometimes returned need to be parsed to correct image and other urls.    We want to cache the parsed result not the DB version.     Also, caching at the hibernate layer caused issues that were addressed as part of BroadleafCommerce/QA#367",3
9,suffice to pick up remoting as a transitive dependency through core. This fixes the problem reported at http://www.nabble.com/Build-1.93---NoClassDefFoundError-on-Maven-2-Build-tf3483998.html,1
25,Further improve tag testing.,5
19,Catch all exceptions when change engine and row_format - can fail when table is full. Just skip as its not a critical fix,1
205,Remove duplicate Utils getters,2
30,HADOOP-2519 Performance improvements: Customized RPC serialization,5
17,Creating feature branch for Cost based optimizer work,4
8,Improve performance of NewViolationsDecorator,5
26,HBASE-1183 New MR splitting algorithm and other new features need a way to split a key range in N chunks,4
22,Fix failing tests - remove old duplicate saved_caches_directory entry leaving zznate's fix for relative location under tmp directory.,2
23,Improved mmap management when the buffer pool is full. Now performance with millions of writes and random searches are really good. Further work on this in the next days.,5
2946,* Refactoring structure in to modules (mostly to speed up incremental builds),3
2951,- Introduced the Thunk structure for the intermediate representation.,3
96,"HIVE-17540: remove feature: describe pretty (Zoltan Haindrich, reviewed by Ashutosh Chauhan)",4
213,HBASE-14466 Remove duplicated code from MOB snapshot tests,2
13,fix issue 1992 - ensure that our variable names don't match the names of the generated enums or we will get a compiler error.  Also fix the escaping of reserved words to use an underscore as the comment implies instead of the word Swagger.,1
55,correct feature pack licenses.html title,4
2933,#131 Package Structure Refactoring,3
29,improved MATCHES operator performances storing the compiled pattern in a,5
2939,#8 updated the package structure and improved the usage of constants,3
18,Improved performance by avoiding unnecessary NumberFormatException,5
88,small refactor to avoid duplicate code,2
64,"The Maven ""feature"" goal has been renamed to ""cucumber"". The Maven property configuration.args (<configuration><args>...) has been removed. Use configuration.cucumberArgs instead.",4
47,Remove duplicate code block,2
219,Refactor some duplicated math methods,2
12,Some modest improvements to use of JDBC -- better use of prepared statement and reuse of connections in some situations.,5
183,"Refactor test code, remove duplicates at FailoverOperatorTest",2
169,Remove duplicate/obsolete tests,2
173,CommandLineRunner can now handle URIs again; refactored some duplicated code,2
2,cloudStack 3.0 new UI - NaaS - fix a bug that dedicated parameter didnt' get to pass into API call.,1
59,Improve readability of ComparisonFailure,5
33,"host page - fix a bug ""clearAddButtonsOnTop is not defined"". This function is retired.",1
46,Unify and encapsulate deployment flow methods and params,2
227,"HBASE-1105  Remove duplicated code in HCM, add javadoc to RegionState, etc.",2
27,bug 6745: Fix problems in Async create commands,1
2950,- DocearEvent structure refactored,3
10,Improve logging readability,5
97,Add missing audit log feature,4
41,bug 11202: cloudStack - Service Offering page - fix a bug that Network Rate didn't get refreshed when another service offering is selected.,1
21,bug 9597: Fixed the recreatable problem.  Also added the 2.2.1 upgrade step,1
226,"Fix for ISSUE 1111 (and 1112, which is a duplicate).  Corrected link paths for 'New Job' and 'People' in sidebar.",2
4,Fixed adding route for additional public nic on fail over,1
44,Tiny performance improvement.,5
170,Remove duplicate code and dependency on metadata,2
36,#691 - Performance Improvements,5
2936,#204 refactored DB structure to deal with private and public autocompletion info,3
253,No need to duplicate close method as it's already inherited from Closeable,2
